id,texts,labels,PREPROCESSED_texts
1597,ürünü burdan 2.5 sene önce aldım. herşey normal giderken biranda tv disk i görmedi sonra pc ye taktım o da görmedi. sanırım yalan oldu resimlerim videolarim :( ,negative,ürünü buradan 2.5 sene önce aldım . herşey normal giderken biranda tv diski görmedi sonra pc ye taktım o da görmedi . sanırım yalan oldu resimlerim videolarım :(
1598,"çok sıklıkla kullanmadığım bir ürün, durduğu yerde bozuldu internetten araştırınca bu markayla herkesin sorunu olduğunu ve ürünlerinin kalitesiz olduğunu okudum .kesinlikle tercih etmeyin",negative,"çok sıklıkla kullanmadığım bir ürün , durduğu yerde bozuldu internetten araştırınca bu markayla herkesin sorunu olduğunu ve ürünlerinin kalitesiz olduğunu okudum . kesinlikle tercih etmeyin"
1599,aktarım hızı çok iyi ancak kullanmaya başladığım gün itibariyle çok ses çıkartıyor. arada bir titreyerek de çalışıyor. rahatsız edici. ,negative,aktarım hızı çok iyi ancak kullanmaya başladığım gün itibariyle çok ses çıkartıyor . arada bir titreyerek de çalışıyor . rahatsız edici .
1600,küçük olması ve hızı avantaj.,negative,küçük olması ve hızı avantaj .
1601,sacı dısa sardırdığı için kullanımı cok kötü ve bukleler hemen bozuluyor hemde beni sacım kıvırcık oldugu halde kullanıssız.,negative,saçı dışa sardırdığı için kullanımı çok kötü ve bukleler hemen bozuluyor hem de beni saçım kıvırcık olduğu halde kullanışsız .
1602,"pek memnun kalmadım. eskiden düzleştirici ile dalga yapıyordum, bu ürün daha pratik gözüktüğü için bunu denemek istedim fakat kendi düzleştiricimle dalga yapmak inanın daha etkili, kolay ve hızlıydı...",negative,"pek memnun kalmadım . eskiden düzleştirici ile dalga yapıyordum , bu ürün daha pratik gözüktüğü için bunu denemek istedim fakat kendi düzleştiricimle dalga yapmak inanın daha etkili , kolay ve hızlıydı ..."
1603,ürünü büyük bir hevesle aldım ancak kesinlikle saça bir etkisi yok. alet dönüyor ve saçı içine çok az bir zaman alıyor dolayısı ile saç kıvrılmıyor. ,negative,ürünü büyük bir hevesle aldım ancak kesinlikle saça bir etkisi yok . alet dönüyor ve saçı içine çok az bir zaman alıyor dolayışı ile saç kıvrılmıyor .
1604,boyun altında çok başarısız eski makinam daha hızlı ve boyun altında pratikti bence başka modellere bakın derim,negative,boyun altında çok başarısız eski makinam daha hızlı ve boyun altında pratikti bence başka modellere bakın derim
1605,06.06.2016 da tarafıma ulaşan ürün 1 ay içinde daha birkaç kullanımda arıza yaptı. hepsiburada.com müşteri hizmetlerini aradığımda 14 günlük iade süresinin geçtiğini servisi aramam gerektiği bilgisini aldım. kesinlikle tavsiye etmiyorum ve bir daha hepsiburada.com dan alışveriş yapmayacağım.,negative,06.06.2016 da tarafıma ulaşan ürün 1 ay içinde daha birkaç kullanımda arıza yaptı . hepsiburada.com müşteri hizmetlerini aradığımda 14 günlük iade süresinin geçtiğini servisi aramam gerektiği bilgisini aldım . kesinlikle tavsiye etmiyorum ve bir daha hepsiburada.com dan alışveriş yapmayacağım .
1606,"bir süre önce hepsiburadadan aldım, cildim alışacak daha iyi kesecek diye 2 aydır bekliyorum ancak cihazın performansı hala iyi değil. son yıllarda braun kalitesinde ciddi bir düşüş var.",negative,"bir süre önce hepsiburadadan aldım , cildim alışacak daha iyi kesecek diye 2 aydır bekliyorum ancak cihazın performansı hala iyi değil . son yıllarda braun kalitesinde ciddi bir düşüş var ."
1607,soğutma düşünülmesi güzel olmuş ancak pürüzsüz bir traş yapılmıyor..sakalları tam olarak almıyor..yarım saat traş ile uğraşınca dahi sinek kaydı traş olunamıyor...,negative,soğutma düşünülmesi güzel olmuş ancak pürüzsüz bir traş yapılmıyor . . sakalları tam olarak almıyor . . yarım saat traş ile uğraşınca dahi sinek kaydı traş olunamıyor ...
1608,"hiç bir şekilde bu üründen memnun kalmadım. en yüksek derecede kullanmama rağmen asla verim alamadım, saçlarımda düzleştirme sağlamadı ve aşırı bir kabarma yaptı. aynı üründen kullanan arkadaşımın ürününü kullandığım zaman aradaki fark dağlar kadar. buradan almış olduğuma çok pişmanım iadesi için talepte bulundum.",negative,"hiç bir şekilde bu üründen memnun kalmadım . en yüksek derecede kullanmama rağmen asla verim alamadım , saçlarımda düzleştirme sağlamadı ve aşırı bir kabarma yaptı . aynı üründen kullanan arkadaşımın ürününü kullandığım zaman aradaki fark dağlar kadar . buradan almış olduğuma çok pişmanım iadesi için talepte bulundum ."
1609,hepsiburada hızlı bir ulaşım sağlasa da üründen memnun değilim. 210 dereceye de getirsem arada soğuduğu için işlem uzun sürüyor ve saçımda elektriklenme yapıyor.,negative,hepsiburada hızlı bir ulaşım sağlasa da üründen memnun değilim . 210 dereceye de getirsem arada soğuduğu için işlem uzun sürüyor ve saçımda elektriklenme yapıyor .
1610,evet düzleştiriyor ama saç koruması sıfır kavurup atıyor resmen. iade de edemedim çok pişmanım yazık oldu parama :(,negative,evet düzleştiriyor ama saç koruması sıfır kavurup atıyor resmen . iade de edemedim çok pişmanım yazık oldu parama :(
1611,benim gibi boyali ve yıpranmış saçlarınız varsa bu duzlestiriciyi önermiyorum remingtonun baska bir modelini almanizi tavsiye ediyorum,negative,benim gibi böyle ve yıpranmış saçlarınız varsa bu düzleştiriciyi önermiyorum remingtonun başka bir modelini almanızı tavsiye ediyorum
1612,saçlarım uzun ve kalın telli çok araştırdım ve yorumlara bakarak bu ürüne kara verdim ama memnun kalmadım        .belki ince telli saçlara iyi olur bilemem. saçıma uyguladıktan  2 saat sonra bozuluyor ve elektrikleniyor.,negative,saçlarım uzun ve kalın telli çok araştırdım ve yorumlara bakarak bu ürüne kara verdim ama memnun kalmadım . belki ince telli saçlara iyi olur bilemem . saçıma uyguladıktan 2 saat sonra bozuluyor ve elektrikleniliyor .
1613,daha önceden remington düzleştirici kullandım tekrar aynı markaya devam etmek için bunu aldım ve çok memnun kaldım kesinlikle tavsiye ediyorum ,negative,daha önceden remington düzleştirici kullandım tekrar aynı markaya devam etmek için bunu aldım ve çok memnun kaldım kesinlikle tavsiye ediyorum
1614,remingtonun bir çok ürününü kullanıyorum ve tümünü de hepsi buradadan aldım.çok güvendiğim bir site.şi̇mdiye kadar hiç bir sıkıntı yaşamadım.yalnız bu düzleştiriciyi sevmedim:(saçlarımı kırt kırt çekiştirip durdu:( ayrıca düzleştirirken plakalar çok ısındı rahat şekil vermekte zorlandım..başka bir modelini almayı düşünüyorum.tabii yine onu da bu siteden .,negative,remingtonun bir çok ürününü kullanıyorum ve tümünü de hepsiburadadan aldım . çok güvendiğim bir site . şimdiye kadar hiç bir sıkıntı yaşamadım . yalnız bu düzleştiriciyi sevmedim :( saçlarımı kırt kırt çekiştirip durdu :( ayrıca düzleştirirken plakalar çok ısındı rahat şekil vermekte zorlandım . . başka bir modelini almayı düşünüyorum . tabii yine onu da bu siteden .
1615,yorumlardan etkilendim. gittim aldım ama abartılan kadar hoş gelmedi. saçım yarım saat içinde  bozuldu öyle çok kıvırcık saçım da yok dalgalı. her zamanki gibi saçta yine istedeğim düzlüğe ulaşamadım. diğer düzleştiricilere göre tabiki iyi ama çok yüksek beklentiniz,negative,yorumlardan etkilendim . gittim aldım ama abartılan kadar hoş gelmedi . saçım yarım saat içinde bozuldu öyle çok kıvırcık saçım da yok dalgalı . her zamanki gibi saçta yine istediğim düzlüğe ulaşamadım . diğer düzleştiricilere göre tabii ki iyi ama çok yüksek beklentiniz
1616,varsa hüsranla karşılaşacağınızı belirtmek isterim.,negative,varsa hüsranla karşılaşacağınızı belirtmek isterim .
1617,ürünü çok araştırarak ve bir sürü yorum okuyarak aldım. saçlarım çok aşırı olmasa da kıvırcık. diğer yorumlarda yazıldığı gibi bir kerede ya da iki kerede elektriklenmeden dümdüz yapmıyor maalesef. dolayısıyla da ürünü geri verdim. belki saçları düze yakın olanların saçlarını dümdüz yapıyordur bilmiyorum. ama ürün genel olarak kaliteli. ama benim gibi saçları olanlara önermiyorum.,negative,ürünü çok araştırarak ve bir sürü yorum okuyarak aldım . saçlarım çok aşırı olmasa da kıvırcık . diğer yorumlarda yazıldığı gibi bir kerede ya da iki kerede elektriklenmeksizin dümdüz yapmıyor maalesef . dolayısıyla da ürünü geri verdim . belki saçları düze yakın olanların saçlarını dümdüz yapıyordur bilmiyorum . ama ürün genel olarak kaliteli . ama benim gibi saçları olanlara önermiyorum .
1618,ürünü bu ve diğer sitelerdeki yorumlara göre aldım fakat beklentimin çok altında bundan önceki düzleştiricim çok daha iyiydi.dümdüz saçlara sahip olmuyorsunuz sadece şekil veriyor memmnun değilim.,negative,ürünü bu ve diğer sitelerdeki yorumlara göre aldım fakat beklentimin çok altında bundan önceki düzleştiricini çok daha iyiydi . dümdüz saçlara sahip oluyorsunuz sadece şekil veriyor memnun değilim .
1619,urunu bir hafta once aldim. urunu kullanirken plakalar tam kapanmiyor. saclarim ince telli oldugundan urunu kullanirken bastirmam gerekiyor. geri vermeyi dusunuyorum,negative,ürünü bir hafta önce aldım . ürünü kullanırken plakalar tam kapanmıyor . saçlarım ince telli olduğundan ürünü kullanırken bastırmam gerekiyor . geri vermeyi düşünüyorum
1620,çok çok üst seviyede ürün sandım sadece normal bir ürün bukle yapıyor ama harika değil bu kadar para vermeye değecek bir şey değil,negative,çok çok üst seviyede ürün sandım sadece normal bir ürün bukle yapıyor ama harika değil bu kadar para vermeye değecek bir şey değil
1621,bu ürünü çok araştırdım ve yeni aldım bugün elime ulaştı ama açıkçası hayal kırıklığına uğradım çünkü makina ısındığı zaman etrafa kablo kokusu yaylılyor ve plakaları arasında çok fazla boşluk var saçı tam kavramıyo benim gibi şikayeti olanlar var mı çünkü ona göre ya iade etcem ürünü yada değiştircem,negative,bu ürünü çok araştırdım ve yeni aldım bugün elime ulaştı ama açıkçası hayal kırıklığına uğradım çünkü makina ısındığı zaman etrafa kablo kokusu yaylıyor ve plakaları arasında çok fazla boşluk var saçı tam kavramıyor benim gibi şikayeti olanlar var mı çünkü ona göre ya iade edeceğim ürünü yada değiştireceğim
1622,"diş fırçası başlıkları, makineyle birlikte gelen başlık kadar kaliteli değil",negative,"diş fırçası başlıkları , makineyle birlikte gelen başlık kadar kaliteli değil"
1623,2 aydır kullanıyorum fakat ciddi bir yol katedemedim. beyaz tenli olamam rağmen yoğunluğu azalmıyor.hiç sevmediğim halde jilet kullanmak zorunda kaldım ve artık jilet vurup durmaktan bunaldım.ayrıca kullanma talimatı bence yetersiz belkide tam anlayamadığım için hala yanlış kullanıyorum..:(,negative,2 aydır kullanıyorum fakat ciddi bir yol katedemedim . beyaz tenli olamam rağmen yoğunluğu azalmıyor . hiç sevmediğim halde jilet kullanmak zorunda kaldım ve artık jilet vurup durmaktan bunaldım . ayrıca kullanma talimatı bence yetersiz belki de tam anlayamadığım için hala yanlış kullanıyorum . . :(
1624,hem paraniza hem zamanınıza yazık..4 de 1 i gidiyor 3 u çıkmaya devam hemde daha kalın olarak.daha çirkin duruyor,negative,hem paranıza hem zamanınıza yazık . . 4 de 1 ı gidiyor 3 u çıkmaya devam hem de daha kalın olarak . daha çirkin duruyor
1625,yaklasik 4 ay once cihazi aldim.6 seans uyguladim.işimden dolayi yarim biraktim.uzerinden 2.5 ay gecti ve ilk halinden daha cok killanma mevcut.kisacasi hic memnun kalmadim.bosuna vermisim onca parayi.,negative,yaklaşık 4 ay önce cihazı aldım . 6 seans uyguladım . işimden dolayı yarım bıraktım . üzerinden 2.5 ay geçti ve ilk halinden daha çok kıllanmasana mevcut . kısacası hiç memnun kalmadım . boşuna vermişim onca parayı .
1626,bu yorumu yapmak icin 6 ay bekledim. ürünü 6 ay önce daha yüksek bir fiyata almıştım. 6 ay her düzenli kullandım kesinlikle bir etkisini görmedim. ürünü omuz ense boyun ve ensenin bir karış aşağısında kullandim. arkadaslar kalin ve güçlü bir kıl yapisina sahip oldugum icin makinanin gücü killari yakmaya yetmiyor. günümüz tabiriyle uyusturuyor. boyun bölgeme daha onceden lazer yaptirdigim icin farkı görerek bu kadar net konuşuyorum. bayanlarda işe yarayabilir. erkeklere kesinlikle tavsiye etmiyorum.,negative,bu yorumu yapmak için 6 ay bekledim . ürünü 6 ay önce daha yüksek bir fiyata almıştım . 6 ay her düzenli kullandım kesinlikle bir etkisini görmedim . ürünü omuz ense boyun ve ensenin bir karış aşağısında kullandım . arkadaşlar kalın ve güçlü bir kıl yapısına sahip olduğu için makinanın gücü kılları yakmaya yetmiyor . günümüz tabiriyle uyuşturuyor . boyun bölgeme daha önceden lazer yaptırdığım için farkı görerek bu kadar net konuşuyorum . bayanlarda işe yarayabilir . erkeklere kesinlikle tavsiye etmiyorum .
1627,bunu alacağiniza bi̇r kutu ki̇bri̇t alin daha i̇yi̇,negative,bunu alacağınıza bir kutu ki̇bri̇t alın daha i̇yi̇
1628,cene yuz tuyleri icin alanlar bir daha dusunun aldim ama cene cene alti gibi dar bolgelere baslik oturmadigi icin atis yapmiyor ve nerdeyse ayni tondaki ten renginde farkli yerlere birine yuksek seviye atarken digerinde kirmizi uyari weriyor yani teniniz koyu diyor.. tavsiyem iyi dusunun gormeden almayin.,negative,çene yüz tüyleri için alanlar bir daha düşünün aldım ama çene çene altı gibi dar bölgelere başlık oturmadığı için atış yapmıyor ve neredeyse aynı tondaki ten renginde farklı yerlere birine yüksek seviye atarken diğerinde kırmızı uyarı veriyor yani teniniz köyü diyor . . tavsiyem iyi düşünün görmeden almayın .
1629,bu tartıyı 4.5 yıldır kullanıyorum. son zamanlarda sürekli yanlış tartıyor. vucut endeksini ölçme sonuçlarını hiç konuşmak istemiyorum. külliyen yanlış ölçümler veriyor. kimin profiline basarsanız onun vucut analizini veriyor. bu da kişilerde bu tartıya güveni zedelemiş oluyor. ben sürekli diyetteyim ve 4 aydır benim gramı gramına aynı tarttığını ve bir gram eksik tartmadığı için bu marka bende güvenilirliğini zaten yitirdi. tartıda hiç eksilme yok ama tüm giyisiler bol geliyor. sanırım setap yaptığımız profili hafızasında tutuyor ve kaç kişi tartılıyorsa o setap bilgilerine göre insanları aynı kiloda tartmaya devam ediyor. bu durumda güvenilirliğini yitrimiş oluyor maalesef. en kısa zamanda yeni bir tartı edinip onu sokağa koyuyorum. canıma tak etti çünkü...,negative,bu tartıyı 4.5 yıldır kullanıyorum . son zamanlarda sürekli yanlış tartıyor . vücut endeksini ölçme sonuçlarını hiç konuşmak istemiyorum . külliyen yanlış ölçümler veriyor . kimin profiline basarsanız onun vücut analizini veriyor . bu da kişilerde bu tartıya güveni zedelemiş oluyor . ben sürekli diyetteyim ve 4 aydır benim gramı gramına aynı tarttığını ve bir gram eksik tartmadığı için bu marka bende güvenilirliğini zaten yitirdi . tartıda hiç eksilme yok ama tüm giysiler bol geliyor . sanırım serap yaptığımız profili hafızasında tutuyor ve kaç kişi tartılıyorsa o etap bilgilerine göre insanları aynı kiloda tartmaya devam ediyor . bu durumda güvenilirliğini yitirmiş oluyor maalesef . en kısa zamanda yeni bir tartı edinip onu sokağa koyuyorum . canıma tak etti çünkü ...
