id,texts,labels,PREPROCESSED_texts,TOPIC_PREPROCESSED_texts,KEYWORDS_PREPROCESSED_texts,KEYWORDS_texts
1484,geçen hafta duruşunu beğenerek aldim elbiseyi kesimi vücuda oturuşu herşeyi mükemmel ama kumaş kötü kollarindaki payetler deydiği her yeri tülertmiş bir kez giydim bir daha o haliyle giyebilecegimi sanmıyorum,negative,geçen hafta duruşunu beğenerek aldım elbiseyi kesimi vücuda oturuşu herşeyi mükemmel ama kumaş kötü kollarındaki payetler değdiği her yeri tülermiş bir kez giydim bir daha o haliyle giyebileceğimi sanmıyorum,35,"[('yeri tülermiş', 4.0), ('giydim', 1.0)]","[('yeri tülertmiş', 4.0), ('giydim', 1.0)]"
1485,"günlüktür. fena değil , rahat",negative,gunluktur fena değil rahat,46,[],"[('fena değil', 4.0), ('günlüktür', 1.0), ('rahat', 1.0)]"
1486,ev hanimlari i̇çi̇n i̇deal,negative,ev hanımları i̇ci̇n ideal,41,[],[]
1487,ürün çok çok ince sanki yağmurluk gibi baharlık olabilir,negative,ürün çok çok ince sanki yağmurluk gibi baharlık olabilir,2,"[('baharlık olabilir', 4.0), ('ürün', 1.0), ('ince', 1.0), ('yağmurluk', 1.0)]","[('baharlık olabilir', 4.0), ('ürün', 1.0), ('ince', 1.0), ('yağmurluk', 1.0)]"
1488,"paltonun lacivert rengini satın aldım. kol kesimi çok kötü, rengini kumaşını beğendim. fakat kollar çok kasıyor.  ",negative,paltonun lacivert rengini satın aldım kol kesimi çok kötü rengini kumaşını beğendim fakat kollar çok kasıyor,14,"[('kasıyor', 1.0)]","[('rengini kumaşını beğendim', 9.0), ('kol kesimi', 4.0), ('fakat kollar', 4.0), ('kötü', 1.0), ('kasıyor', 1.0)]"
1489,bir plaj terliğinin güneşte kalınca nasıl küçüldüğünü görmek istiyorsanız alın!!! i̇nternetten araştırabilirsiniz. ,negative,bir plaj terliğinin güneşte kalınca nasıl küçüldüğünü görmek istiyorsanız alın İnternet'ten araştırabilirsiniz,40,[],"[('i̇nternetten araştırabilirsiniz', 4.0)]"
1490,gelecek urunu tahmin ederek sipariş verdim ve ürün beni şaşırtmadı. 5-10 yaş  çocuklar için bir oyuncak niteliğinde. ,negative,gelecek ürünü tahmin ederek sipariş verdim ve ürün beni şaşırtmadı yaş çocuklar için bir oyuncak niteliğinde,36,"[('şaşırtmadı yaş çocuklar', 9.0), ('oyuncak niteliğinde', 4.0), ('ürün', 1.0)]","[('5-10 yaş çocuklar', 9.0), ('oyuncak niteliğinde', 4.0), ('ürün', 1.0), ('şaşırtmadı', 1.0)]"
1491,"kesinlikle ""mükemmel"" değil. sadece saat, rehber, alarm olarak kullanacak olan biri için ""çok iyi"". beklentisi olmayan biri için ""iyi"".  ihtiyaç için alanlar için ""fena değil"". android saat olarak ""çok kötü"". ancak indirimli fiyatının karşılığını veriyor. ben ucuz bir saat arıyordum. bu anlamda ihtiyacımı gördü. ama şarjının kısa süreli olması değerlendirme puanımı düşürdü.",negative,kesinlikle mükemmel değil sadece saat rehber alarm olarak kullanacak olan biri için çok iyi beklentisi olmayan biri için iyi ihtiyaç için alanlar için fena değil android saat olarak çok kötü ancak indirimli fiyatının karşılığını veriyor ben ucuz bir saat arıyordum bu anlamda ihtiyacımı gördü ama şarjının kısa süreli olması değerlendirme puanımı düşürdü,20,"[('anlamda ihtiyacımı gördü', 9.0), ('iyi beklentisi olmayan', 8.5), ('iyi ihtiyaç', 4.5), ('saat arıyordum', 4.0), ('alanlar', 1.0), ('ucuz', 1.0)]","[('anlamda ihtiyacımı gördü', 9.0), ('android saat olarak', 8.333333333333334), ('sadece saat', 4.333333333333334), ('saat arıyordum', 4.333333333333334), ('beklentisi olmayan', 4.0), ('fena değil', 3.5), ('değil', 1.5), ('kesinlikle', 1.0), ('mükemmel', 1.0), ('rehber', 1.0)]"
1492,bu fiyata ancak bu kadar. beklentileri karşılamaktan uzak. ,negative,bu fiyata ancak bu kadar beklentileri karşılamaktan uzak,41,"[('fiyata ancak', 4.0)]","[('beklentileri karşılamaktan uzak', 9.0), ('fiyata ancak', 4.0), ('kadar', 1.0)]"
1493,almayın değmez kötü süs için iyi,negative,almayın değmez kötü süs için iyi,20,"[('iyi', 1.0)]","[('iyi', 1.0)]"
1494,çok fazla bişey beklemeyin.i̇dare eder.,negative,çok fazla bir şey beklemeyini̇dare eder,11,"[('şey beklemeyini̇dare eder', 9.0), ('fazla', 1.0)]","[('fazla bişey beklemeyin', 9.0), ('i̇dare eder', 4.0)]"
1495,"gereksiz, şarjı bitiriyor, kalitesiz",negative,gereksiz şarjı bitiriyor kalitesiz,40,[],"[('şarjı bitiriyor', 4.0), ('gereksiz', 1.0), ('kalitesiz', 1.0)]"
1496,ios uyumu yok alırken dikkat edin,negative,ios uyumu yok alırken dikkat edin,20,[],[]
1497,"çocuklar için saat olarak kullanılabilir ,",negative,çocuklar için saat olarak kullanılabilir,17,"[('saat olarak kullanılabilir', 9.0), ('çocuklar', 1.0)]","[('saat olarak kullanılabilir', 9.0), ('çocuklar', 1.0)]"
1498,bu fiyata hiç fena değil ama  titreşim olsaydı daha iyi olurdu ,negative,bu fiyata hiç fena değil ama titreşim olsaydı daha iyi olurdu,23,"[('fena değil', 4.0), ('titreşim olsaydı', 4.0), ('iyi olurdu', 4.0), ('fiyata', 1.0)]","[('fena değil', 4.0), ('titreşim olsaydı', 4.0), ('iyi olurdu', 4.0), ('fiyata', 1.0)]"
1499,mesaj uygulaması kamera uygulaması telefon ile eş zamanlı çalışmıyor. görüntü kalitesi kötü dokunmatiği güzel. menü dili kötü. wp ve face ile alakası yok ama kutuda simgeleri var. telefonuna gelen bildirimi göremiyorsun. fiyata göre makul olabilir ama benim için yeterli kalitede bir saat değil.,negative,mesaj uygulaması kamera uygulaması telefon ile eş zamanlı çalışmıyor görüntü kalitesi kötü dokunmatiği güzel menü dili kötü wp ve face ile alakası yok ama kutuda simgeleri var telefonuna gelen bildirimi göremiyorsun fiyata göre makul olabilir ama benim için yeterli kalitede bir saat değil,40,"[('alakası yok', 4.0), ('yeterli kalitede', 4.0), ('saat değil', 4.0), ('face', 1.0)]","[('eş zamanlı çalışmıyor', 9.0), ('menü dili kötü', 9.0), ('kutuda simgeleri var', 9.0), ('alakası yok', 4.0), ('yeterli kalitede', 4.0), ('saat değil', 4.0), ('face', 1.0)]"
1500,ci̇haz güzel ancak şarzi hizli bi̇ti̇yor 1-5 gün kadar blutut eşleşmesi̇ sikinti oldu bu fi̇yata  olabi̇li̇r.,negative,çi̇haz güzel ancak şarjı hızlı bi̇ti̇yor gün kadar blutut eşleşmesi sıkıntı oldu bu fiyata olabi̇li̇r,0,"[('fiyata olabi̇li̇r', 4.0)]","[('fi̇yata olabi̇li̇r', 4.0)]"
1501,pek kullanışlı değil.dokunmatik özelliği çok kötü,negative,pek kullanışlı değildokunmatik özelliği çok kötü,4,"[('kötü', 1.0)]","[('pek kullanışlı değil', 9.0), ('dokunmatik özelliği', 4.0), ('kötü', 1.0)]"
1502,ben aldım memnun kalmadım iki adet sipariş verdim biri acılmadı bile bozuk cıktı diğeri ise bağlanti problemi vardı iade ettim  . ucuz malın malesef ömrü kısa olurmuş birkez daha anladım,negative,ben aldım memnun kalmadım iki adet sipariş verdim biri açılmadı bile bozuk çıktı diğeri ise bağlantı problemi vardı iade ettim ucuz malın maalesef ömrü kısa olurmuş bir kez daha anladım,25,"[('aldım memnun kalmadım', 9.0), ('adet sipariş verdim', 9.0), ('anladım', 1.0)]","[('aldım memnun kalmadım', 9.0), ('adet sipariş verdim', 9.0), ('anladım', 1.0)]"
1503,ios uyumlu diğil. pili 3-4 saat dayanıyor. ,negative,ios uyumlu değil pili saat dayanıyor,6,[],"[('ios uyumlu diğil', 9.0)]"
1504,iphone için app bulunmuyor. ama olsun hiç önemli değil. önemli olan batuhan' ın mutlu olmasıydı ve oldu.,negative,ıphone için app bulunmuyor ama olsun hiç önemli değil önemli olan batuhanın mutlu olmasıydı ve öldü,37,"[('app bulunmuyor', 4.0), ('ıphone', 1.0), ('olsun', 1.0), ('öldü', 1.0)]","[('app bulunmuyor', 4.0), ('önemli değil', 4.0), ('iphone', 1.0), ('olsun', 1.0), ('oldu', 1.0)]"
1505,ürünü üreten ile kutusunu üreten sanki farklı firma gibi. resimlerde hd görüntü var gibi ama gerçek ürün pixel pixel gösteriyor. 35 tl verdikten sonrada fazla bir şey beklememek lazım.  elinizde saatle konuşarak gezebiliyorsunuz.  mesaj okuyabiliyorsunuz. tuşlayıp birisini arıyabiliyorsunuz. şarjı yazandan daha kısa gidiyor. ,negative,ürünü üreten ile kutusunu üreten sanki farklı firma gibi resimlerde hd görüntü var gibi ama gerçek ürün pixel pixel gösteriyor tl verdikten sonrada fazla bir şey beklememek lazım elinizde saatle konuşarak gezebiliyorsunuz mesaj okuyabiliyorsunuz tuşlayıp birini farıyabiliyorsunuz şarjı yazandan daha kısa gidiyor,19,"[('ürünü üreten', 4.0), ('kutusunu üreten', 4.0), ('farklı firma', 4.0), ('kısa gidiyor', 4.0)]","[('şey beklememek lazım', 9.0), ('tuşlayıp birisini arıyabiliyorsunuz', 9.0), ('ürünü üreten', 4.0), ('kutusunu üreten', 4.0), ('farklı firma', 4.0), ('mesaj okuyabiliyorsunuz', 4.0), ('şarjı yazandan', 4.0), ('kısa gidiyor', 4.0)]"
1506,"stabil değil, sürekli telefonla bağlantıyı kaybediyor. sadece saat olarak kullanılabilir. ",negative,stabil değil sürekli telefonla bağlantıyı kaybediyor sadece saat olarak kullanılabilir,6,[],"[('stabil değil', 4.0)]"
1507,pek uyumlu değil ekran çıkıyor mesaj okumuyor çok kötü bir ürün ,negative,pek uyumlu değil ekran çıkıyor mesaj okumuyor çok kötü bir ürün,21,"[('kötü', 1.0), ('ürün', 1.0)]","[('kötü', 1.0), ('ürün', 1.0)]"
1508,"cok fazla birsey beklemeyin, kayiş ve ozellikle ekran cozunurlugu cok kotu. ben ilkokula giden yegenime hediye olarak verecegim.",negative,çok fazla bir şey beklemeyin kayış ve özellikle ekran çözünürlüğü çok kötü ben ilkokula giden yeğenime hediye olarak vereceğim,12,"[('şey beklemeyin kayış', 9.0), ('özellikle ekran çözünürlüğü', 9.0), ('fazla', 1.0), ('kötü', 1.0)]","[('kayiş', 1.0)]"
1509,"tamam belli bir beklentim yoktu ama bu kadarda değil , özellik fazla yok saat olarak kullanılır fakat şarjı 2 saat gitmiyor bu yüzden geri iade ettim",negative,tamam belli bir beklentim yoktu ama bu kadarda değil özellik fazla yok saat olarak kullanılır fakat şarjı saat gitmiyor bu yüzden geri iade ettim,27,"[('tamam belli', 4.0), ('beklentim yoktu', 4.0)]","[('tamam belli', 4.0), ('beklentim yoktu', 4.0), ('kadarda değil', 4.0)]"
1510,beğenmedim  çünkü akıllı saat diyor o kadarda akıllı değil sesi kötü çıkmıyor fazla işlevi yok,negative,beğenmedim çünkü akıllı saat diyor o kadarda akıllı değil sesi kötü çıkmıyor fazla işlevi yok,35,"[('beğenmedim', 1.0)]","[('beğenmedim', 1.0)]"
1511,saatmi saat. sadece saat başka hiç bişi yok. özelikleri çok az. ,negative,saat mi saat sadece saat başka hiç bir şey yok özelikleri çok az,38,"[('şey yok özelikleri', 9.0)]","[('sadece saat başka', 8.5), ('saatmi saat', 4.5), ('bişi yok', 4.0), ('özelikleri', 1.0)]"
1512,fene degil  ,negative,fene değil,29,"[('fene değil', 4.0)]","[('fene degil', 4.0)]"
1513,yetişkin biri için para ve vakit kaybı.çocuk sevindirecekseniz alınabilir.ama çocuğunuzdan bile tepki almanız ihtimal dahilinde.10 yaşındaki oğlum 5 yaşındaki kardeşine karşılıksız verdi.banada oh be kurtuldum artık sesi.ufaklıksa tyansfomısına alternatif yapmış şimdilik.tek derdi müzik nasıl çalıyor bunda diyor.hemen sıvışıyorum tabi.,negative,yetişkin biri için para ve vakit kaybıçocuk sevindirecekseniz alınabilirama çocuğunuzdan bile tepki almanız ihtimal dahilinde yaşındaki oğlum yaşındaki kardeşine karşılıksız verdibanada oh be kurtuldum artık sesiufaklıksa tyansfomısına alternatif yapmış şimdilikten derdi müzik nasıl çalıyor bunda diyorhemen sıvışıyorum tabi,40,"[('diyorhemen sıvışıyorum tabi', 9.0), ('yetişkin', 1.0), ('para', 1.0)]","[('çocuk sevindirecekseniz alınabilir', 9.0), ('hemen sıvışıyorum tabi', 9.0), ('vakit kaybı', 4.0), ('yetişkin', 1.0), ('para', 1.0), ('diyor', 1.0)]"
1514,arkadaslar merhaba. akilli saat degil bu yaa. cok incelemedim ama telefonla baglantiyi kurduktan sonra sadece gelen cagrilari aliyor. msj bildirimlerin hic birini almiyor. şarzi yanlis olmasin 6 saat filan dayandi. bilgilerinize,negative,arkadaşlar merhaba akıllı saat değil bu yaa çok incelemedim ama telefonla bağlantıyı kurduktan sonra sadece gelen çağrıları alıyor mesaj bildirimlerin hiç birini almıyor tarzı yanlış olmasın saat filan dayandı bilgilerinize,22,"[('yaa', 1.0), ('incelemedim', 1.0)]","[('akilli saat degil', 9.0), ('arkadaslar merhaba', 4.0), ('cok incelemedim', 4.0), ('yaa', 1.0), ('bilgilerinize', 1.0)]"
1515,ürün de sadece arama var başka işe yarayan hiç birşey yok inanmayin ,negative,ürün de sadece arama var başka işe yarayan hiç bir şey yok inanmayın,18,"[('şey yok inanmayın', 9.0), ('ürün', 1.0)]","[('birşey yok inanmayin', 9.0), ('ürün', 1.0)]"
1516,dogru duzgun calışmıyor sadece saat niyetine alırsınız ,negative,doğru düzgün çalışmıyor sadece saat niyetine alırsınız,49,[],[]
1517,ouncak bile değil,negative,oyuncak bile değil,22,"[('oyuncak bile değil', 9.0)]",[]
1518,aldığıma pişman oldum.iphone da kullanamıyorum çok denedim kuramadım iade edicem,negative,aldığıma pişman oldumiphone da kullanamıyorum çok denedim kuramadım iade edeceğim,48,"[('aldığıma pişman oldumiphone', 9.0), ('kullanamıyorum', 1.0)]","[('aldığıma pişman oldum', 9.0), ('iphone', 1.0), ('kullanamıyorum', 1.0)]"
1519,telefonla saat arasinda tüm fonksi̇yonlar çalişmiyor ve beklenti̇leri̇ asla karşilamayan bi̇r ürün.,negative,telefonla saat arasında tüm fonksiyonlar çalışıyor ve beklenti̇leri̇ asla karşılamayan bir ürün,43,"[('telefonla saat arasında', 9.0), ('beklenti̇leri̇ asla karşılamayan', 9.0), ('fonksiyonlar çalışıyor', 4.0), ('ürün', 1.0)]","[('telefonla saat arasinda', 9.0), ('fonksi̇yonlar çalişmiyor', 4.0)]"
1520,arkadaşlar bluetooth mesafesi 6-8 metre özellikler iyi telefonla net konuşuluyor ekran dokunmatik kullanışlı zorlamadan algılıyor 2 çeşit saat var anolog dijital bikaç özellik için sanırım ek program kullanmak grekecek sanırım ugraşmadım mesafesinden dolayı iade edeceğim,negative,arkadaşlar bluetooth mesafesi metre özellikler iyi telefonla net konuşuluyor ekran dokunmatik kullanışlı zorlamadan algılıyor çeşit saat var analog dijital bir kaç özellik için sanırım ek program kullanmak gerekecek sanırım uğraşmadım mesafesinden dolayı iade edeceğim,41,"[('kaç özellik', 4.0)]",[]
1521,memnun deği̇li̇m şarjz sikintisi ve fm radyo yok ,negative,memnun deği̇li̇m şarj sıkıntısı ve fm radyo yok,48,"[('fm radyo yok', 9.0)]","[('fm radyo yok', 9.0)]"
1522,ürün belirtilen özelliklerin hepsine sahip değil termometre barometre yok türkçe dil var ama çeviriler çok komik kişi yerine ısı yazıyor oyuncak bile değil hiç bir işe yaramaz boşuna almayin,negative,ürün belirtilen özelliklerin hepsine sahip değil termometre barometre yok türkçe dil var ama çeviriler çok komik kişi yerine işi yazıyor oyuncak bile değil hiç bir işe yaramaz boşuna almayın,47,"[('çeviriler', 1.0)]","[('çeviriler', 1.0)]"
1523,üzerinde ufak tefek delikler vardı. ürünü beğenmedim.,negative,üzerinde ufak tefek delikler vardı ürünü beğenmedim,19,[],"[('ürünü beğenmedim', 4.0)]"
1524,urun çok kalın ve taşınması zor. değişim ile ilgili yardımlarınızı rica ederim.,negative,ürün çok kalın ve taşınması zor değişim ile ilgili yardımlarınızı rica ederim,43,"[('taşınması zor değişim', 9.0), ('ürün', 1.0), ('kalın', 1.0)]","[('taşınması zor', 4.0), ('urun', 1.0), ('kalın', 1.0), ('değişim', 1.0)]"
1525,ben aslında kamp matı olarak kullanmak için almıştım. arkadaşımda farklı bir marka vardı çok güzel yumuşak bir dokusu vardı malzemesi çok daha kaliteliydi. malesef bu ürün beklentimi karşılamadı orjinal kamp matları gibi sert bir malzemesi var ,negative,ben aslında kamp matı olarak kullanmak için almıştım arkadaşımda farklı bir marka vardı çok güzel yumuşak bir kokusu vardı malzemesi çok daha kaliteliydi maalesef bu ürün beklentimi karşılamadı orjinal kamp matları gibi sert bir malzemesi var,12,"[('almıştım arkadaşımda farklı', 9.0), ('kokusu vardı malzemesi', 8.0), ('marka vardı', 4.5), ('malzemesi var', 4.5), ('güzel yumuşak', 4.0), ('kaliteliydi maalesef', 4.0), ('sert', 1.0)]","[('dokusu vardı malzemesi', 8.0), ('marka vardı', 4.5), ('malzemesi var', 4.5), ('arkadaşımda farklı', 4.0), ('güzel yumuşak', 4.0), ('almıştım', 1.0), ('kaliteliydi', 1.0), ('malesef', 1.0), ('sert', 1.0)]"
1526,"minder mi alıyoruz strafor köpük mü sünger mi alıyoruz anlayamadım, bahsedildiği gibi değildi o yüzden beğenmedim. fakat kalınlığı güzel. bir de kötü kokuyor.",negative,minder mi alıyoruz Stratfor köpük mü sünger mi alıyoruz anlayamadım bahsedildiği gibi değildi o yüzden beğenmedim fakat kalınlığı güzel bir de kötü kokuyor,13,"[('kötü kokuyor', 4.0)]","[('fakat kalınlığı güzel', 9.0), ('kötü kokuyor', 4.0), ('bahsedildiği', 1.0)]"
1527,"ürünün plastiği kaliteli değil sanırım, günler boyuna çok yoğun şekilde kötü plastik koktu.",negative,ürünün plastiği kaliteli değil sanırım günler boyuna çok yoğun şekilde kötü plastik koktu,36,[],"[('günler boyuna', 4.0)]"
1528,ilandaki rengin çok canlı olmasından dolayı mor renk sipariş vermiştim ancak gelen ürünün ilandakinin rengiyle bir ilgisi yok. çok daha soluk. yine de kullanışlı bir minder,negative,ilandaki rengin çok canlı olmasından dolayı mor renk sipariş vermiştim ancak gelen ürünün ılandakinin rengiyle bir ilgisi yok çok daha soluk yine de kullanışlı bir minder,43,"[('ilandaki rengin', 4.0), ('ilgisi yok', 4.0), ('soluk yine', 4.0), ('kullanışlı', 1.0), ('minder', 1.0)]","[('ilandaki rengin', 4.0), ('ilgisi yok', 4.0), ('soluk', 1.0), ('yine', 1.0), ('kullanışlı', 1.0), ('minder', 1.0)]"
1529,"selam herkese, ",negative,selam herkese,25,"[('selam herkese', 4.0)]","[('selam herkese', 4.0)]"
1530,benim implantım olduğu için faydalı olacağını düşünerek aldım.. aralardaki küçük parçaları çıkarıyormuş.. aynı işlevi dişinizi  fırçaladıktan sonra ağzınızı çalkalayaak da yapabilirsiniz. lüzumsuz bir ürün..bin pişman oldum...,negative,benim implandım olduğu için faydalı olacağını düşünerek aldım aralardaki küçük parçaları çıkarıyormuş aynı işlevi dişinizi fırçaladıktan sonra ağzınızı çalkalayarak da yapabilirsiniz lüzumsuz bir ürünbin pişman oldum,24,"[('ürünbin pişman oldum', 9.0), ('implandım olduğu', 4.0), ('yapabilirsiniz lüzumsuz', 4.0)]","[('implantım olduğu', 4.0), ('pişman oldum', 4.0), ('yapabilirsiniz', 1.0), ('lüzumsuz', 1.0), ('ürün', 1.0)]"
